iter	Passed	Remaining
407	5920	8590
408	5934	8575
409	5950	8562
410	5965	8549
411	5980	8535
412	5995	8521
413	6010	8508
414	6026	8494
415	6039	8478
416	6054	8464
417	6069	8450
418	6084	8436
419	6099	8422
420	6114	8408
421	6129	8395
422	6141	8377
423	6147	8351
424	6158	8332
425	6163	8305
426	6169	8278
427	6177	8255
428	6192	8242
429	6207	8229
430	6223	8216
431	6238	8201
432	6253	8189
433	6269	8176
434	6283	8161
435	6298	8147
436	6313	8133
437	6328	8119
438	6342	8105
439	6357	8091
440	6372	8077
441	6387	8063
442	6402	8049
443	6417	8036
444	6431	8021
445	6447	8009
446	6462	7994
447	6476	7980
448	6491	7965
449	6506	7951
450	6520	7937
451	6535	7923
452	6550	7909
453	6565	7895
454	6580	7881
455	6595	7868
456	6611	7855
457	6624	7839
458	6638	7825
459	6654	7811
460	6669	7797
461	6683	7783
462	6698	7769
463	6713	7755
464	6728	7740
465	6743	7727
466	6758	7713
467	6773	7699
468	6787	7685
469	6802	7670
470	6817	7656
471	6832	7642
472	6846	7628
473	6860	7613
474	6875	7599
475	6890	7585
476	6905	7571
477	6920	7557
478	6935	7543
479	6950	7529
480	6965	7515
481	6979	7500
482	6994	7487
483	7009	7472
484	7024	7459
485	7038	7444
486	7053	7430
487	7068	7415
488	7083	7402
489	7097	7387
490	7112	7373
491	7127	7358
492	7141	7344
493	7156	7330
494	7171	7316
495	7186	7302
496	7201	7288
497	7216	7274
498	7230	7259
499	7245	7245
500	7263	7234
501	7278	7220
502	7293	7206
503	7308	7192
504	7323	7178
505	7338	7164
506	7352	7149
507	7367	7135
508	7381	7120
509	7396	7106
510	7410	7091
511	7426	7078
512	7440	7063
513	7454	7048
514	7469	7034
515	7483	7019
516	7498	7005
517	7512	6990
518	7527	6976
519	7542	6962
520	7557	6947
521	7571	6933
522	7585	6918
523	7600	6904
524	7614	6889
525	7629	6875
526	7644	6861
527	7659	6846
528	7673	6832
529	7688	6817
530	7703	6803
531	7717	6789
532	7732	6775
533	7747	6760
534	7762	6746
535	7776	6732
536	7786	6713
537	7794	6693
538	7805	6675
539	7810	6653
540	7816	6631
541	7827	6613
542	7842	6600
543	7857	6586
544	7871	6571
545	7883	6555
546	7898	6541
547	7913	6527
548	7928	6512
549	7942	6498
550	7957	6484
551	7971	6470
552	7986	6455
553	8001	6441
554	8015	6427
555	8030	6413
556	8045	6398
557	8060	6384
558	8074	6369
559	8089	6355
560	8104	6341
561	8119	6327
562	8134	6313
563	8149	6299
564	8164	6285
565	8179	6271
566	8194	6257
567	8209	6243
568	8223	6229
569	8239	6215
570	8254	6201
571	8270	6188
572	8284	6173
573	8299	6159
574	8313	6144
575	8329	6131
576	8342	6115
577	8357	6101
578	8371	6087
579	8387	6073
580	8401	6059
581	8417	6045
582	8431	6030
583	8446	6016
584	8460	6002
585	8475	5988
586	8490	5973
587	8504	5959
588	8518	5944
589	8534	5930
590	8548	5916
591	8563	5901
592	8577	5887
593	8592	5873
594	8607	5858
595	8622	5844
596	8637	5830
597	8651	5816
598	8666	5801
599	8681	5787
600	8696	5773
601	8710	5758
602	8725	5744
603	8740	5730
604	8754	5715
605	8769	5701
606	8784	5687
607	8799	5673
608	8814	5659
609	8830	5645
610	8845	5631
611	8859	5616
612	8874	5602
613	8889	5588
614	8904	5574
615	8919	5560
616	8934	5546
617	8949	5531
618	8963	5517
619	8978	5503
620	8993	5488
621	9008	5474
622	9022	5459
623	9036	5445
624	9051	5430
625	9065	5416
626	9080	5402
627	9095	5387
628	9110	5373
629	9124	5359
630	9140	5344
631	9154	5330
632	9169	5316
633	9183	5301
634	9199	5287
635	9213	5273
636	9226	5257
637	9232	5238
638	9242	5221
639	9247	5201
640	9251	5181
641	9256	5161
642	9265	5144
643	9282	5131
644	9298	5117
645	9313	5103
646	9327	5088
647	9343	5075
648	9357	5060
649	9372	5046
650	9387	5032
651	9402	5018
652	9417	5004
653	9431	4989
654	9446	4975
655	9461	4961
656	9476	4947
657	9491	4933
658	9506	4919
659	9521	4904
660	9536	4890
661	9551	4876
662	9566	4862
663	9581	4848
664	9596	4834
665	9609	4819
666	9625	4805
667	9639	4790
668	9654	4776
669	9668	4761
670	9683	4748
671	9698	4733
672	9714	4719
673	9728	4705
674	9744	4691
675	9758	4677
676	9774	4663
677	9789	4649
678	9804	4635
679	9818	4620
680	9833	4606
681	9848	4591
682	9863	4577
683	9877	4563
684	9892	4549
685	9907	4535
686	9922	4520
687	9937	4506
688	9952	4492
689	9966	4477
690	9981	4463
691	9996	4449
692	10010	4434
693	10025	4420
694	10040	4406
695	10055	4392
696	10069	4377
697	10083	4362
698	10098	4348
699	10113	4334
700	10128	4319
701	10141	4305
702	10157	4291
703	10171	4276
704	10185	4262
705	10201	4248
706	10215	4233
707	10230	4219
708	10244	4204
709	10260	4190
710	10275	4176
711	10290	4162
712	10304	4147
713	10319	4133
714	10334	4119
715	10350	4105
716	10364	4090
717	10379	4076
718	10394	4062
719	10408	4047
720	10423	4033
721	10438	4019
722	10452	4004
723	10467	3990
724	10482	3975
725	10496	3961
726	10511	3947
727	10525	3932
728	10540	3918
729	10555	3903
730	10569	3889
731	10583	3874
732	10597	3860
733	10612	3845
734	10623	3830
735	10629	3812
736	10638	3796
737	10643	3778
738	10648	3760
739	10654	3743
740	10666	3728
741	10683	3714
742	10698	3700
743	10710	3685
744	10723	3670
745	10738	3656
746	10754	3642
747	10768	3627
748	10784	3614
749	10799	3599
750	10814	3585
751	10828	3571
752	10844	3557
753	10859	3543
754	10875	3529
755	10889	3514
756	10905	3500
757	10920	3486
758	10935	3472
759	10951	3458
760	10966	3444
761	10981	3429
762	10995	3415
763	11010	3401
764	11025	3386
765	11040	3372
766	11054	3358
767	11069	3343
768	11084	3329
769	11100	3315
770	11114	3301
771	11130	3287
772	11145	3273
773	11160	3258
774	11177	3244
775	11192	3230
776	11207	3216
777	11223	3202
778	11238	3188
779	11253	3173
780	11268	3159
781	11282	3145
782	11297	3130
783	11312	3116
784	11326	3102
785	11341	3087
786	11355	3073
787	11370	3059
788	11384	3044
789	11399	3030
790	11413	3015
791	11429	3001
792	11443	2987
793	11460	2973
794	11476	2959
795	11491	2945
796	11506	2930
797	11520	2916
798	11535	2901
799	11549	2887
800	11565	2873
801	11579	2858
802	11594	2844
803	11609	2830
804	11623	2815
805	11637	2800
806	11652	2786
807	11667	2772
808	11681	2757
809	11696	2743
810	11712	2729
811	11727	2715
812	11742	2700
813	11757	2686
814	11771	2672
815	11786	2657
816	11800	2643
817	11815	2628
818	11829	2614
819	11844	2600
820	11859	2585
821	11874	2571
822	11889	2557
823	11904	2542
824	11920	2528
825	11935	2514
826	11949	2499
827	11964	2485
828	11980	2471
829	11994	2456
830	12010	2442
831	12025	2428
832	12040	2413
833	12046	2397
834	12055	2382
835	12061	2366
836	12066	2349
837	12071	2333
838	12080	2318
839	12095	2303
840	12110	2289
841	12125	2275
842	12138	2260
