iter	MultiClass
168	1.884877651
169	1.884520404
170	1.884173037
171	1.883829374
172	1.883467188
173	1.883123702
174	1.88277704
175	1.882435671
176	1.88209342
177	1.881744994
178	1.881402214
179	1.881061021
180	1.880714183
181	1.880373696
182	1.88003215
183	1.879690076
184	1.879346413
185	1.879006279
186	1.878665792
187	1.878324952
188	1.877983583
189	1.877638333
190	1.877293259
191	1.876953654
192	1.876610345
193	1.876269858
194	1.875930958
195	1.875577946
196	1.875235165
197	1.874896972
198	1.874558249
199	1.874218644
200	1.873880274
201	1.873542081
202	1.873200359
203	1.872859343
204	1.872523266
205	1.872185955
206	1.871843174
207	1.871500041
208	1.871163612
209	1.870825594
210	1.870488107
211	1.870150795
212	1.869814189
213	1.86947776
214	1.86913692
215	1.868799785
216	1.868459651
217	1.868118458
218	1.867782735
219	1.867443659
220	1.86710917
221	1.86676886
222	1.866430666
223	1.86608965
224	1.865754808
225	1.865401796
226	1.865068542
227	1.864728761
228	1.864380158
229	1.864046375
230	1.863707123
231	1.86336893
232	1.863030383
233	1.862698188
234	1.862365111
235	1.862027976
236	1.861694193
237	1.861343473
238	1.861011278
239	1.860679612
240	1.860343006
241	1.86000693
242	1.859675969
243	1.859340775
244	1.859009991
245	1.858677796
246	1.858341366
247	1.85800476
248	1.857669037
249	1.857335254
250	1.857004999
251	1.856669452
252	1.856340785
253	1.85601053
254	1.855676041
255	1.85534561
256	1.855010769
257	1.854663048
258	1.854315858
259	1.853968137
260	1.853638765
261	1.853310804
262	1.852982137
263	1.852648706
264	1.852321451
265	1.851989255
266	1.851660941
267	1.851334215
268	1.85098773
269	1.85066118
270	1.850315577
271	1.849987439
272	1.849642012
273	1.849308759
274	1.848982914
275	1.848661304
276	1.848330696
277	1.848003794
278	1.847678479
279	1.847352458
280	1.847012147
281	1.846686127
282	1.846361694
283	1.846037085
284	1.845713357
285	1.845388924
286	1.845063433
287	1.84473459
288	1.844410157
289	1.844071434
290	1.843747707
291	1.843419569
292	1.843095489
293	1.842773173
294	1.842445035
295	1.842116721
296	1.841792465
297	1.841466267
298	1.841149421
299	1.840827281
300	1.840503907
301	1.840175592
302	1.839852571
303	1.839533431
304	1.839205646
305	1.838874685
306	1.838552017
307	1.838226172
308	1.837899093
309	1.837572367
310	1.83725058
311	1.836928088
312	1.836607889
313	1.836286984
314	1.835965903
315	1.835644822
316	1.835324623
317	1.835005659
318	1.834685813
319	1.834365791
320	1.834051237
321	1.833726628
322	1.833401842
323	1.833077586
324	1.832758975
325	1.832439129
326	1.832120694
327	1.831797143
328	1.831473592
329	1.831155158
330	1.830836546
331	1.830512996
332	1.830190503
333	1.829872069
334	1.829540579
335	1.829205208
336	1.828887303
337	1.828569397
338	1.828247434
339	1.827930587
340	1.827596098
341	1.827279252
342	1.826962581
343	1.82664591
344	1.826330298
345	1.825995986
346	1.825679139
347	1.82534518
348	1.825029568
349	1.824712897
350	1.824398344
351	1.824084496
352	1.823769942
353	1.823450978
354	1.82313272
355	1.822819401
356	1.822499732
357	1.822167713
358	1.821848043
359	1.82152855
360	1.821209233
361	1.820896268
362	1.820583125
363	1.820269101
364	1.819951196
365	1.819636995
366	1.8193235
367	1.819011416
368	1.818693335
369	1.818381074
370	1.818067932
371	1.817750909
372	1.817421536
373	1.817109276
374	1.816792782
375	1.816476288
376	1.816164028
377	1.815848063
378	1.815530863
379	1.815217898
380	1.814906167
381	1.814595847
382	1.81426718
383	1.813955449
384	1.813644954
385	1.813334105
386	1.813005967
387	1.812690355
388	1.812379683
389	1.812069363
390	1.811754281
391	1.81144449
392	1.811135582
393	1.810812914
394	1.810498889
395	1.810185041
396	1.809872605
397	1.80956405
398	1.809242616
399	1.808933002
400	1.808626035
401	1.808299837
402	1.807978404
403	1.807670554
404	1.807358117
405	1.807047445
406	1.806735009
407	1.80642857
408	1.806121603
409	1.8058134
410	1.80550167
411	1.805194173
412	1.804887558
413	1.804580414
414	1.804269742
415	1.803958011
416	1.803655454
417	1.803344782
418	1.803039931
419	1.802729612
420	1.802419116
421	1.802114618
422	1.801809944
423	1.801504211
424	1.801193892
425	1.800876163
426	1.800571665
427	1.800261522
428	1.799952085
429	1.799643177
430	1.799335327
431	1.799032594
432	1.798728802
433	1.798420423
434	1.798115925
435	1.797806664
436	1.79749458
437	1.797186731
438	1.796883997
439	1.796581087
440	1.796261241
441	1.795954097
442	1.795633722
443	1.795325696
444	1.795010084
445	1.794708762
446	1.794406381
447	1.794099943
448	1.793785037
449	1.79347754
450	1.793171102
451	1.792856372
452	1.792554697
453	1.79225408
454	1.791952758
455	1.791647378
456	1.791333354
457	1.791032032
458	1.790726652
459	1.790422507
460	1.790119245
461	1.789818452
462	1.789513778
463	1.789208751
464	1.788904959
465	1.788605048
466	1.788305313
467	1.787993759
468	1.787683792
469	1.787383882
470	1.787079913
471	1.78678159
472	1.78648362
473	1.78618071
474	1.785878506
475	1.785575949
476	1.78526069
477	1.784957427
478	1.784646402
479	1.784348431
480	1.784033878
481	1.783736437
482	1.78343829
483	1.78312356
484	1.782827002
485	1.782530443
486	1.782228768
487	1.781928681
488	1.781615362
489	1.781314393
490	1.781014129
491	1.780705044
492	1.780408133
493	1.780107693
494	1.779812192
495	1.779517398
496	1.779217663
497	1.778918987
498	1.778607609
499	1.778308757
500	1.778009552
501	1.777709641
502	1.777402321
503	1.777108761
504	1.776810262
505	1.776514232
506	1.776215556
507	1.775922173
508	1.775628084
509	1.775330114
510	1.775019088
511	1.774726411
512	1.774429323
513	1.774131882
514	1.773837969
515	1.773532766
516	1.773239206
517	1.772943353
518	1.7726475
519	1.772351646
520	1.772059322
521	1.771767702
522	1.77147132
523	1.771178995
524	1.770883671
525	1.770591876
526	1.770282968
527	1.769986056
528	1.769690203
529	1.769399466
530	1.769108023
531	1.768817639
532	1.768525667
533	1.768230166
534	1.767934137
535	1.76764287
536	1.767351781
537	1.767061749
538	1.7667726
539	1.766483451
540	1.766193772
541	1.765904093
542	1.765610534
543	1.765319973
544	1.765033117
545	1.764727032
546	1.764424828
547	1.764135678
548	1.763833474
549	1.763545207
550	1.763243179
551	1.76293727
552	1.762644063
553	1.762356149
554	1.762063118
555	1.761762149
556	1.761473882
557	1.76118632
558	1.760894525
559	1.760603611
560	1.760315697
561	1.760027782
562	1.759734928
563	1.759434841
564	1.759148338
565	1.758863952
566	1.75857692
567	1.758290946
568	1.758004619
569	1.757718293
570	1.75743126
571	1.757144934
572	1.756851021
573	1.756547935
574	1.756261432
575	1.755975635
576	1.755690719
577	1.755395925
578	1.755094602
579	1.754796456
580	1.754508012
581	1.754219216
582	1.753930066
583	1.753640564
584	1.753351239
585	1.753053621
586	1.752765354
587	1.752481144
588	1.752192701
589	1.751895789
590	1.751608933
591	1.7513249
592	1.751024989
593	1.750740956
594	1.750457099
595	1.750174478
596	1.749887798
597	1.749605176
598	1.749317791
599	1.74903023
600	1.748742315
601	1.748459693
602	1.748176366
603	1.747894097
604	1.747607417
605	1.747308918
606	1.747010419
607	1.746723563
608	1.746441823
609	1.746143676
610	1.745860702
611	1.745578609
612	1.745292106
613	1.745006838
614	1.74472598
615	1.744445123
616	1.744159502
617	1.743867
618	1.743582791
619	1.743301757
620	1.743021252
621	1.742741276
622	1.742448246
623	1.742163507
624	1.741879121
625	1.741595617
626	1.74131176
627	1.741028257
628	1.740751809
629	1.740472716
630	1.740194505
631	1.739899181
632	1.739607385
633	1.739323175
634	1.739040201
635	1.738761107
636	1.738470194
637	1.738175046
638	1.737892777
639	1.737602746
640	1.737319771
641	1.737029387
642	1.73674606
643	1.736463438
644	1.736180992
645	1.735903487
646	1.735620865
647	1.735338772
648	1.735049799
649	1.734769647
650	1.73448879
651	1.734211284
652	1.733933073
653	1.733655743
654	1.733375062
655	1.733082561
656	1.73280135
657	1.73252455
658	1.732243869
659	1.731958954
660	1.73168233
661	1.731404119
662	1.731115852
663	1.730836582
664	1.730545492
665	1.730270103
666	1.729982189
667	1.729703272
668	1.729415181
669	1.729136088
670	1.728860875
671	1.728586016
672	1.728307804
673	1.728029946
674	1.727752264
675	1.727472817
676	1.727199546
677	1.726925921
678	1.726647534
679	1.726374085
680	1.726100461
681	1.725823132
682	1.725549331
683	1.725271825
684	1.72499626
685	1.724718401
686	1.724441072
687	1.7241678
688	1.723894705
689	1.72361914
690	1.723343751
691	1.723067833
692	1.722790328
693	1.722513881
694	1.722239021
695	1.721963456
696	1.721691419
697	1.721403681
698	1.721133056
699	1.720858373
700	1.720582455
701	1.720307243
702	1.720027267
703	1.719756113
704	1.719484958
705	1.71921151
706	1.718938591
707	1.718664966
708	1.718395223
709	1.718121775
710	1.717835801
711	1.717565882
712	1.717280261
713	1.717006283
714	1.716737246
715	1.716466797
716	1.716192819
717	1.715918313
718	1.715649452
719	1.71537618
720	1.715091441
721	1.714817464
722	1.714544368
723	1.714275507
724	1.714001001
725	1.713716967
726	1.713432934
727	1.713164073
728	1.712895741
729	1.712615766
730	1.712343905
731	1.712074691
732	1.711798068
733	1.711530088
734	1.711261933
735	1.710994659
736	1.71071486
737	1.710432239
738	1.710161084
739	1.709889576
740	1.709619127
741	1.709352912
742	1.709077347
743	1.708806898
744	1.708524806
745	1.708253828
746	1.707987789
747	1.707717516
748	1.7074356
749	1.70716868
750	1.706898407
751	1.706628487
752	1.706362625
753	1.706085296
754	1.705816964
755	1.70554775
756	1.705267422
757	1.704998737
758	1.704729346
759	1.704448136
760	1.704183509
761	1.703918529
762	1.703649138
763	1.703381865
764	1.703102595
765	1.70283391
766	1.702565225
767	1.702296364
768	1.702027503
769	1.701751585
770	1.701480783
771	1.701216685
772	1.700947824
773	1.70068549
774	1.700417864
775	1.700155001
776	1.699891079
777	1.699613044
778	1.699349652
779	1.699077968
780	1.698815458
781	1.698559652
782	1.698296436
783	1.698035161
784	1.697768417
785	1.697501496
786	1.697235281
787	1.696968713
788	1.696701263
789	1.696439106
790	1.696173597
791	1.695908088
792	1.695630405
793	1.695353429
794	1.695092507
795	1.694826821
796	1.694566428
797	1.694305505
798	1.694045112
799	1.693781191
800	1.693520798
801	1.693255112
802	1.692995248
803	1.692723741
804	1.692459113
805	1.692195368
806	1.691934799
807	1.691674582
808	1.691415247
809	1.691145328
810	1.69088123
811	1.690617661
812	1.690353034
813	1.690085408
814	1.689821839
815	1.689563563
816	1.689299641
817	1.68902584
818	1.688762272
819	1.688488647
820	1.688225961
821	1.687963274
822	1.687705174
823	1.687446192
824	1.687185623
825	1.686911646
826	1.686641549
827	1.686384332
828	1.686117411
829	1.685847668
830	1.685585334
831	1.685325294
832	1.685052375
833	1.684779456
834	1.684510948
835	1.684249143
836	1.683988221
837	1.683716008
838	1.683459672
839	1.68320069
840	1.682940297
841	1.682668261
842	1.682408573
843	1.682137066
844	1.68187632
845	1.68162016
846	1.681351652
847	1.68108138
848	1.680822574
849	1.680568709
850	1.68030955
851	1.68005198
852	1.679785059
853	1.679529959
854	1.679270095
855	1.6790157
856	1.678756189
857	1.678500206
858	1.678230463
859	1.677961072
860	1.677701032
861	1.677434288
862	1.677171425
863	1.676916148
864	1.676658754
865	1.67640383
866	1.676149435
867	1.675895216
868	1.675636058
869	1.675381663
870	1.675113507
871	1.674855055
872	1.674587252
873	1.674323331
874	1.674069818
875	1.673813659
876	1.673556441
877	1.673298341
878	1.673041653
879	1.672789199
880	1.67253251
881	1.672276704
882	1.672009254
883	1.671741981
884	1.67148688
885	1.671229663
886	1.670962389
887	1.67070623
888	1.670449894
889	1.670183327
890	1.669931931
891	1.669677536
892	1.669411145
893	1.669156397
894	1.668905883
895	1.66865043
896	1.668384568
897	1.66812929
898	1.667867486
899	1.667612209
900	1.66736099
901	1.667095657
902	1.66684479
903	1.66658916
904	1.666326827
905	1.666076313
906	1.665825446
907	1.665571228
908	1.665316833
909	1.665067378
910	1.664809454
911	1.66455947
912	1.664307368
913	1.664054032
914	1.663804224
915	1.663550535
916	1.663291376
917	1.663038393
918	1.662774648
919	1.662521841
920	1.662269386
921	1.662019402
922	1.661756539
923	1.661504084
924	1.661249866
925	1.660997764
926	1.66075219
927	1.660500265
928	1.660259102
929	1.660007
930	1.659745196
931	1.659496799
932	1.659237641
933	1.658990303
934	1.658742612
935	1.658486452
936	1.658235586
937	1.657986484
938	1.657734206
939	1.657477341
940	1.657218535
941	1.65695973
942	1.656712568
943	1.65646523
944	1.656213658
945	1.65595891
946	1.655707691
947	1.655446768
948	1.655200841
949	1.654950857
950	1.654704401
951	1.654453534
952	1.654204961
953	1.653954977
954	1.653705345
955	1.653445834
956	1.653195673
957	1.652945336
958	1.652699585
959	1.652449601
960	1.652201557
961	1.651952807
962	1.651693473
963	1.651434138
964	1.651185036
965	1.65094052
966	1.650691771
967	1.650443198
968	1.650198329
969	1.649954167
970	1.649705946
971	1.649457902
972	1.649214269
973	1.648969401
974	1.648723297
975	1.648465727
976	1.648218742
977	1.647975108
978	1.647726888
979	1.647474786
980	1.647217392
981	1.646973582
982	1.64672695
983	1.646471849
984	1.64621322
985	1.645972939
986	1.645716074
987	1.645474028
988	1.645227396
989	1.644984115
990	1.644737483
991	1.644491203
992	1.644245805
993	1.643988941
994	1.643743543
995	1.643497969
996	1.643252395
997	1.643012819
998	1.642770774
999	1.642525905
